NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;meaning;syntactic_function
goccia a goccia;yes;a;goccia;"È solo che mi piace sentirti parlare di quando il mare si poteva vedere, di quando ci si poteva entrare dentro; mi piace bere,";goccia a goccia;, quel distillato di saggezza che... --- Il distillato di tua mamma!;sg;succession/iteration/distributivity;modifier
goccia a goccia;yes;a;goccia;Io adesso ve la faccio bere a viso aperto come il fiele,;goccia a goccia;, fino all'ultima goccia.;sg;succession/iteration/distributivity;modifier
gomito a gomito;yes;a;gomito;Così a parità di lavoro svolto, collaboriamo;gomito a gomito;con colleghi che usufruiscono di notevoli incentivi economici.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Credo di avere già scritto su questo mio diario l'impressione che ho riportato di quella grande birreria monacense dove i bavaresi si affollano intorno a lunghe tables d'hôte,;gomito a gomito;, svergognandosi di salsicce untuose e sorbendosi boccali grandi quanto un tino, uomini e donne, le donne più ridanciane, rumorose e volgari degli uomini.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Queste cose non le ha mai dette neanche con me che siamo;gomito a gomito;da due anni e mezzo.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Dal 7 al 10 maggio sono stato in Brasile,;gomito a gomito;con 10 baristi, provenienti da tutto il mondo, selezionati per partecipare a Barista & Farmer, il talent show made in Italy pensato per permettere ai baristi di andare alle origini del prodotto con cui lavora tutti i giorni e di cui è appassionato: il caffè.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;A metà della scala si potrebbero porre invece quelle che mostrano artisti e scienziati lavorare;gomito a gomito;, producendo conoscenze o rappresentazioni reciprocamente utili, come accadeva per esempio agli incisori che si affiancarono ad anatomisti e astronomi da cui dipendono le due grandi rivoluzioni scientifiche della modernità.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Cosa crede che succeda quando uno della valle di Ossau lavora;gomito a gomito;con uno della valle del Gave?;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;All'alba di ieri, su quella carcassa arrivata dritta sulla spiaggia di Le Cannella una delle località di mare più belle di Isola Capo Rizzuto stavano;gomito a gomito;317 persone, per lo più curdi, pakistani e afgani.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Lavorare durante l'estate, tra giostre, montagne russe e castelli incantati,;gomito a gomito;con i personaggi delle fiabe e con migliaia di turisti, grandi e piccini.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Per prima cosa ottenne un sostanzioso prestito grazieall'appoggio e alla fiducia di banchieri legati all'agente commerciale di suo padre, poi mandò i commandeurs ai canneti, a lavorare;gomito a gomito;con gli stessi uomini che prima avevano martirizzato e li rimpiazzò con altri meno depravati, ridusse i castighi e assunse un veterinario, che trascorse due mesi a Saint - Lazare cercando di restituire un po 'di salute ai neri.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Questa baraonda e questo carnevale durarono finoache il Pretore, una sera, al cinema, accesasi la luce, si trovò;gomito a gomito;con un individuo interrogato in carcere quella mattina.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;E non è possibile metterli;gomito a gomito;con le donne gomito a gomito, al lavandino, in un gabinetto.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Naturalmente certi vecchi quartieri londinesi conservavano le antiche caratteristiche di grande eleganza e ricchezza, ma erano spesso;gomito a gomito;con gli slum più squallidi e più ripugnanti.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;"Sono impazzito per il mercato del pesce di Tokyo, colazione alle quattro di mattina, mangiando ""yakitori"", ""ramen"", sushi,";gomito a gomito;con uno che puzza di pesce perchè lì ci lavora.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Era la prima volta che mi trovavo;gomito a gomito;con qualcosa o qualcuno di nobile stirpe, la mia famiglia inclusa.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Non esistono infine uffici: gli impiegati e le segretarie operano;gomito a gomito;"in ""open space"".";sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Di fronte al nemico si serrano i ranghi e le file;gomito a gomito;.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;L'unica cosa sopravvissuta, ma desolatamente annerita dal fumo, è la lunga serpentina di marmo in cui i viaggiatori si sedevano;gomito a gomito;per consumare un rapido pasto prima di sperdersi nella regione dei laghi a Est di New York o nelle innumerevoli cittadine incastonate lungo il fiume Hudson, dove la frenesia della città che non dorme mai, nonostante la breve distanza, sembra una cosa remota e incredibile.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Will (e credo, segretamente, anche Ben) ha sempre invidiato il mio lavoro e il fatto che mi costringa a stare quasi ogni giorno;gomito a gomito;con decine di modelle tutte stupende!;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Ci hanno divisi per evitare problemi, perquanto era possibile, vistoche si camminava tutto il giorno spalla a spalla,;gomito a gomito;, a passi diversi, ma alla stessa velocità, e quando vivi una situazione di fatica e scomodità come quella, con poco cibo e poca acqua e nessun posto dove ripararsi e molto freddo, invece, molto, molto freddo, be', i battibecchi e le risse sono sempre dietro l'angolo, in agguato, e gli accoltellamenti anche, quindi è meglio tenere separate le etnie ostili.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;E se bisognava affrontarlo - bisognava necessariamente affrontarlo - era di certo meglio farlo in gruppo, in questo;gomito a gomito;che ci saldava l'uno all'altro e che era, nell'imminenza del pericolo, come un ultimo rifugio.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Noi ci auguriamo che tutti i comunisti, dappertutto nel mondo, lottino;gomito a gomito;e si oppongano ad ogni attacco di un paese imperialista contro qualsiasi paese del terzo mondo.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Cosí si compí il tradimento, progettato e custodito fin dall'arrivo nella città dei folli,;gomito a gomito;con loro, per oltre un anno.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Ogni volta che il livello del fiume si abbassa e tutti gli alligatori si affollano nei punti più profondi, i rettili si trovano;gomito a gomito;e si mangiano allegramente tra loro.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Lorenzo, nella sua ingenuità, si era immaginato una vita meravigliosa - di giorno a costruire mattoni, e la sera;gomito a gomito;con i Beatles e a passeggiare a braccetto con Jean Shrimpton o Marianne Faithfull per Carnaby Street.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Alla Pisacane studiano 87 bambini stranieri su cento, e la percentuale è in crescita: bengalesi, cinesi, romeni, polacchi, colombiani, filippini, algerini, egiziani e italiani imparano;gomito a gomito;«a leggere e scrivere in stampatello e corsivo», e «eseguono le addizioni con 3 numeri», giura un gruppo di genitori in un appello ad altri italiani a iscrivere i loro figli nonostante le continue polemiche.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Intorno al tavolo non c'erano abbastanza sedie per tutti e così Kenneth dovette stare;gomito a gomito;con Shirley, cosa che invero pareva non dispiacergli affatto.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Ecco, devono essere nati così questi ultimi due romanzi di famiglia, seguiti da lunghe ore al computer, uno accanto all'altro,;gomito a gomito;, anima ad anima, ogni tanto un sospiro, una lunga occhiata, qualche sorriso di tenerezza perché i due si adorano e si cercano come solo due innamoratini sanno fare, al di là delle loro abbondanti sessanta primavere.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Mi insegnò a lavorare coi ferri e stavamo lunghe ore in silenzio,;gomito a gomito;, su quelle sedie della cucina che mi dimenticavo di far impagliare.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Il podestà si era lungamente preparato a sostenere la parte: avrebbe dovuto passare tutta una giornata;gomito a gomito;con la sua antica morosa e con l'altrettanto antico timoniere che gliel'aveva soffiata.;sg;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;Emiliano è un pm di prima linea: è stato in Sicilia dove ha lavorato;gomito a gomito;"con Rosario Livatino, il giovane magistrato ucciso dalla mafia; poi a Brindisi dove con una serie di inchieste ha decapitato la mafia pugliese, la Sacra Corona Unita.";sg;juxtaposition/contact;modifier
grado a grado;yes;a;grado;[La scienza politica] chiarisce come scenda la rivelazione da presso Dio,;grado a grado;, fino al primo governante.;sg;succession/iteration/distributivity;modifier
grado a grado;yes;a;grado;Dormo fondo e poi vengo;grado a grado;in superficie, in una specie di ascensione inevitabile da galleggiante di sughero che sale dal fondo melmoso attraverso l'opacità che diventa via via più trasparente fino a proprio sotto il piano argentato tremolante della luce violenta.;sg;succession/iteration/distributivity;modifier
grado a grado;yes;a;grado;Catturato dalle sempre più sottili distinzioni e puntualizzazioni che lo conducono;grado a grado;"verso le profondità del microcosmo, il lettore ha la sorpresa di trovarsi alla fine in un terreno che ha le dimensioni dell'universo e un colore umano inconfondibile: E fortuna d'essermi senza volere trovato quasi solo usufruttuario d'un territorio senza confini, in un mondo spezzettato ormai in tante proprietà private, dove non è più palmo che non sia chiuso da cancelli cinto da filo spinato, ringhioso di cani da guardia; desideroso io solo di qualcosa che nessuno mi disputa, nessuno anzi vede (e se chi passa chiede, alla spiegazione sorride incredulo o commiserante).";sg;succession/iteration/distributivity;modifier
grado a grado;yes;a;grado;Lotto, come molti di noi, con difficoltà economiche, che spero di superare,;grado a grado;.;sg;succession/iteration/distributivity;modifier
guancia a guancia;yes;a;guancia;E ha una canzone del cuore, la canzone che ascoltava da govane quando ballava;guancia a guancia;con Filippo di Grecia, suo futuro sposo, ora Filippo d'Edimburgo e Principe consorte.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Riuscì ancora a vedere i due uomini, vicini al suo viso, appoggiati l'uno all'altro;guancia a guancia;, che osservavano la fine.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Nel bridge, esattamente a 1 e 42 secondi primi, la canzone diventa un recitativo, cito letteralmente: Su, vieni più vicino, lasciati andare, è bello stare;guancia a guancia;, no?;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;"Azzurro Caltagirone è a un tavolo ""cheek to cheek"",";guancia a guancia;con il pretone.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Certo che me ne aveva raccontate di cose, e ricordo benissimo che, durante quei quattro giorni si può dire;guancia a guancia;, a ogni nuova confidenza mi si raddoppiavano i brividi lungo la schiena: perché si fidava tanto, perché si era fidata incondizionatamente di me?;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;I loro visi si trovarono incollati l'uno all'altro,;guancia a guancia;.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Me lo accosto al viso, quasi lo tocco con gli occhi, mentre Zot arriva e stiamo;guancia a guancia;a guardarlo, così vicini che i nostri respiri diventerebbero uno solo, se ci riuscisse respirare.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;La tromba è guerresca, angelica, apocalittica, vittoriosa, suona la carica, il sassofono fa ballare bulletti di periferia coi capelli unti di brillantina,;guancia a guancia;con ragazze sudate.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Alfio per il resto della serata rimase mortificato a guardarla ballare i valzer lenti;guancia a guancia;con Piastrein.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Primo piano dei due volti - quello scuro di mio figlio e quello chiarissimo di Hans - che,;guancia a guancia;, ridono felici.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Pereira restò solo al tavolino, sostiene, ordinò un'altra limonata e se la bevve a piccoli sorsi guardando i ragazzi che ballavano lentamente;guancia a guancia;.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Avrei voluto poter cucinare al mio lui una costata, sapendo che gli piaceva cotta al punto giusto, poter danzare con lui;guancia a guancia;.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Gli indicò gli aiutanti che si tenevano abbracciati,;guancia a guancia;", con un sorriso che poteva essere umile o ironico; gli indicò tutti costoro come per presentargli un seguito impostogli da particolari circostanze, aspettandosi però - in ciò vi era una certa confidenza, ed era questa a cui egli mirava - che Barnabas distinguesse sempre bene fra lui e loro.";sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Vide ancora come i signori vicino al suo viso, accostati;guancia a guancia;, osservavano l'esito.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Stemmo a lungo insieme, così,;guancia a guancia;.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Lei e Nina sono ancora sotto la coperta, sedute vicine, quasi;guancia a guancia;, ma non si guardano.;sg;juxtaposition/contact;modifier
guancia a guancia;yes;a;guancia;Pensavo alla sua infanzia e alla sua adolescenza, ai divani ridotti a brandelli e ai materassi masticati, alle fantastiche passeggiate lungo l'Intracoastal e ai balli;guancia a guancia;con lo stereo a tutto volume.;sg;juxtaposition/contact;modifier
muro a muro;yes;a;muro;A Lucas Avenue guardavamo dall'alto in basso quelle disgraziate nei casini di Chestnut o di Market Strect, che stavano;muro a muro;con i teatri di varietà, le case da gioco dove un bullo poteva tentare la fortuna al faro o ad altri giochi, trovare qualsiasi tipo di liquore, e soddisfare qualunque capriccio sessuale.;sg;juxtaposition/contact;modifier
onda a onda;yes;a;onda;Il rumore del mare continuava a coltivare e a vedere crescere,;onda a onda;, il rigoglio del suo disinteresse.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Allora il prete si avvicinò a me e disse che lui quelle montagne le conosceva;palmo a palmo;perché da piccolo con suo padre e sua sorella arrivavano fin lassù.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;I tre si sparpagliarono e cominciarono a frugare;palmo a palmo;il terreno.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Gli sarebbero occorsi mesi per rilevarne il tracciato e per esplorarle;palmo a palmo;.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Snocciolata questa sfilza di assurdità Bengal'skij riunì le mani;palmo a palmo;facendo segni di saluto verso la fessura del sipario, che di conseguenza, con un rumore sordo, si aprì.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;E invece la sua macchina, accompagnata dai rintocchi della campana di Montecitorio, è arrivata puntualissima sul piazzale della Camera, scrutato;palmo a palmo;dai tiratori scelti appostati sui tetti.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Ufficio che è stato controllato;palmo a palmo;.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Per lui si tratterà di procedere progredendo senza progredire, di lottare;palmo a palmo;contro qualunque forma di dipendenza dal terapeuta, di non dovergli niente, soprattutto di non essergli debitore di un miglioramento del quale preferisce fare a meno piuttosto che pagarlo a quel prezzo.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Il geometra De Palo e il geometra Ranieri vengono sguinzagliati per battere;palmo a palmo;la città sulle loro station wagon.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Moltitudine di prostitute e colori sgargianti, stuoli d'artisti e piaceri del cibo, mio Ludovico, servono a celare spie e sbirri, giudici e inquisitori che;palmo a palmo;scrutano incessanti.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Ovviamente non possiamo battere quella parte del Gargano;palmo a palmo;.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Da quella sera, fino a ieri pomeriggio, carabinieri, polizia e vigili del fuoco hanno continuato a cercare madre e figlio, battendo;palmo a palmo;la zona lungo il fiume e scandagliando le acque del Livenza, che a tratti ha correnti molto forti e profondità dai cinque ai nove metri.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;"Dice l'iscrizione ""che esse congiungono le mani";palmo a palmo;""", allegorica immagine che descrive il passaggio da un segno zodiacale a quello precedente, passaggio che avviene nell'equinozio di primavera ogni 2160 anni.";sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Cominciando a conoscerti, che a Venezia ha aperto la Settimana della Critica e, ora, soggiorna sui nostri schermi conquistandosi;palmo a palmo;il favore del pubblico più attento.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Gli promisi nuove fiere o, in alternativa, un viaggio in cui avremmo battuto;palmo a palmo;il Wisconsin.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Tutte le auto vengono osservate;palmo a palmo;, illuminate da fortissime luci bianche.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;A piedi ci rechiamo quindi alla scoperta della parte più antica dell'abitato, nella quale si trova il poderoso castello aragonese, che esploriamo;palmo a palmo;, fra interessanti ambienti di epoca medioevale e vasti panorami sui paesaggi circostanti.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Per individuare le casse di zinco, la polizia batte;palmo a palmo;tutta la basilica, partendo dai sottotetti, scoprendo locali nemmeno mappati nelle cartine catastali, per passare alle stanze che ospitano gli organi, sino a sgabuzzini ricavati vicino alle aule, come quello ispezionato vicino all'attuale aula 201: la coincidenza è interessante, perché la stanza si trova a pochi metri dal quarto piano del palazzo adiacente: proprio la vecchia sede dell'istituto Ludovico da Victoria, la scuola di musica dove Emanuela nel 1983 andava a lezione.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Il litorale tra Ostia e Anzio viene setacciato;palmo a palmo;con i cani.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Lui, quando ancora Bossi studiava alla Scuola Radio Elettra, batteva;palmo a palmo;le province di Verona, Vicenza e Treviso per diffondere il verbo della Serenissima.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;"La tensione del Franco Cacciatore viene condotta al diapason, allorché l'agens deve unirsi alla ""generale Caccia"" alla Bestia, e batte accanitamente,";palmo a palmo;, l'intrico della macchia.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Non venendo, l'italiano aveva agito in modo tanto ragionevole quanto scortese, non si sarebbe visto nulla, ci si sarebbe dovuti accontentare di esplorare;palmo a palmo;alcuni quadri con la lampadina tascabile di K.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Siccome la domestica non le aveva detto dov'era stata morsa, le alzò la camiciola e la esaminò;palmo a palmo;, seguendo con la luce la treccia di penitenza che teneva avvolta intorno al corpo come una coda di leone.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Se già non lo si è fatto sarebbe bene ripassare;palmo a palmo;i bordi misti e le aiuole per ripulire il terreno dai cespi marcescenti o secchi.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Tutta l'area è stata immediatamente interdetta e i carabinieri la stanno ispezionando;palmo a palmo;alla ricerca di altri indizi utili all'indagine.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Quelli dell'NGA disponevano di migliaia di immagini scattate dai droni e dai satelliti, e conoscevano praticamente;palmo a palmo;l'intera area esterna del compound.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Per ore e ore hanno battuto la zona;palmo a palmo;.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;La ragazza, piuttosto pallida ed esile, controllò;palmo a palmo;l'indumento alla ricerca di eventuali macchie, verificò le cuciture e gli orli, poi la drappeggiò attorno alle sue spalle e sul braccio sinistro e curò le pieghe una per una come se stesse rivestendo il suo padrone.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;Ma le guerre non si vincono né in aria né sull'acqua, si vincono sulla terra,;palmo a palmo;, uomo contro uomo.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;In questo modo, i vari eserciti impegnati nella ricerca del tesoro alchemico si sono visti costretti a perlustrare i boschi;palmo a palmo;, sprecando tutta la notte in una lunga serie di appostamenti e di perquisizioni.;sg;succession/iteration/distributivity;modifier
palmo a palmo;yes;a;palmo;"Il ""settore del mattone"" continua ad avere fame di venditori per conquistare";palmo a palmo;città e province.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;Quello ottocentesco, in granito scuro, è stato smontato;pezzo a pezzo;e rivenduto agli americani nel 1968, i quali l'hanno rimesso in piedi nel deserto dell'Arizona.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;La reazione degli studenti a quella che si presenta come una controriforma della scuola il cui senso principale è smontare;pezzo a pezzo;la riforma precedente è stata dapprincipio disordinata e scomposta, come si addice ai sedicenni.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;Fu solo nei mesi successivi che quella barriera, ormai ridotta a monumento di una frontiera che divideva in due una metropoli e un popolo, venne;pezzo a pezzo;sbriciolata.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;Salviamola, finché siamo ancora in tempo, dai barbari che l'hanno invasa e spolpata;pezzo a pezzo;.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;E vabbè, ma che significa, che la riforma Fornero resterà così com'è o verrà smontata;pezzo a pezzo;?;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;E questa non dovrebbe essere la terra sulla quale volendo, volendo e stravolendo tutto si può fare, allora vada a inseguirsi in cielo, volenterosamente vada a ricomporsi;pezzo a pezzo;.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;Drogo lo indossò e si guardò;pezzo a pezzo;nel piccolo specchio della propria stanza.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;Taglienti come affilati bisturi, ci eravamo sezionate a vicenda,;pezzo a pezzo;.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;Si era riparato in fondo al terrazzo, sotto a un pergolato che il vento stava portandosi via;pezzo a pezzo;, e tutt'insieme non solo il fumo gli si era parato davanti, ma bello e chiaro tutto il vapore, così vicino dentro la lente del cannocchiale che a momenti si vedevano i peli del naso a quelli di bordo.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;E il vaso se ne va,;pezzo a pezzo;.;sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;"Quest'ultimo è l'aspetto più singolare del traffico """;pezzo a pezzo;""".";sg;succession/iteration/distributivity;modifier
pezzo a pezzo;yes;a;pezzo;A questo punto, dice Picierno, «poiché, come è nello spirito della Convenizone di Istanbul, la piena uguaglianza è la chiave per prevenire la violenza, bisogna agire;pezzo a pezzo;: ad esempio adesso concentrarsi per conquistare la sulla parità salariale, che in Europa ha tutt'ora un dislivello del 16 per cento tra uomini e donne».;sg;succession/iteration/distributivity;modifier
pixel a pixel;yes;a;pixel;Per poter essere rilette in formato tridimensionale, le immagini devono essere scritte sullo schermo interallacciate;pixel a pixel;: la separazione ottica delle due immagini avviene a caricod elle microlenti.;sg;succession/iteration/distributivity;modifier
pixel a pixel;yes;a;pixel;"""Quando si esegue la rilevazione di contorni su un'immagine con tecniche di elaborazione attualmente disponibili lo si fa in maniera digitale,";pixel a pixel;""", ha spiegato il Prof.";sg;succession/iteration/distributivity;modifier
poro a poro;;a;poro;L'avrei presa invece a lei la sbrodolona e rivoltata proprio dall'interno per poi estrarle tutto quell'olio e leccarlo;poro a poro;tutto quell'olio sbrodolone…;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;L'Ambiente oggi cerca 20 distributori (uno per ogni regione) più venditori;porta a porta;in tutta Italia.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Ciò si manifesta anche con la tendenza - si veda a proposito la legge sull'equo canone, sui contratti;porta a porta;", sul credito al consumo, sulla subfornitura e sulla multiproprietà - a non creare nuove figure contrattuali ma a regolare I ""rapporti economici"" fissando requisiti minimi del testo negoziale.";sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Ma Davi suggerisce, se la vicenda Unipol dovesse monopolizzare tv e giornali nazionali ancora per mesi, di fare una campagna;porta a porta;: «Rinunciare a fare di Rai3 una rete militante, preferire interviste ai giornali e alle tv locali, tanta radio, non solo nelle emittenti di sinistra, comizi».;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Ma l'azienda cremonese ha bisogno anche di venditori;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Un trucchetto che mi ha insegnato un mio ex che faceva vendite;porta a porta;non so più di cosa.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Nella prefazione ho accennato al piccolo libro Dame al Macao di Alberto Arduini, raffinatissimo antiquario romano con negozio prima in via Frattina, poi in piazza di Spagna;porta a porta;con la KeatsShelley Memorial.;sg;succession/iteration/distributivity;modifier
