NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;meaning;syntactic_function
porta a porta;yes;a;porta;"Si tratta di vendere questi prodotti attraverso il multilevel marketing, la cosiddetta distribuzione """;porta a porta;""" che funziona attraverso un efficace passa - parola e che permette di guadagnare anche su ogni persona che si riesce a reclutare.";sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Oltre agli immancabili call center con contratti a provvigione, tra i casi studiati verranno analizzati i pericoli che si celano nelle offerte per gli impieghi classici, «a domicilio e;porta a porta;"»; ma anche per i lavori che un tempo erano considerati anomali, ma che oggi sono fonte di guadagno per moltissimi giovani, come «quelli che prevedono un corso di formazione a pagamento iniziale, troppo spesso inutile e carissimo».";sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Dopo anni passati prima come venditore;porta a porta;di assicurazioni e di calzature per donne, poi come comparsa in film e serie televisive dimenticabili come Il ritorno dei pomodori assassini e Baby talk, questo è il suo momento.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;La sua storia di origini americane risale agli Anni 40 quando fu adottata dai ragazzi che consegnavano i quotidiani;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Anziché sostenere la lobby dell'incenerimento Orlando promuova la riduzione dei rifiuti, la raccolta;porta a porta;(abolendo la Tares come chiesto dal M5S con proposte parlamentari), costruzioni di centri riciclo e compostaggio, sistemi alternativi all'incenerimento e alla discarica, in linea con l'Europa!;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Il suo quarto marito le passava a quelli che le vendevano;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;I Giuliano sembrano un clan giunto al capolinea, lentamente emerso dalla miseria, dal contrabbando alle puttane, dalla gestione dell'estorsione;porta a porta;ai rapimenti.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Suo padre faceva il rappresentante;porta a porta;per la Rawleigh, un'azienda di prodotti per la casa.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Profumino invadente di tabaccaio di lusso spacciato per raro oggetto di profumeria, qui la tirchieria è di casa, roba che ti intontisce l'olfatto, venditrice di bigiotteria;porta a porta;o casalinga con marito assente, fa tante telefonate ad amiche che fanno anche loro tante telefonate.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;"In particolare, anche in Italia ci sono esperienze straordinarie a riguardo, conta la raccolta differenziata """;porta a porta;""", domiciliarizzata, portare il servizio vicino alle famiglie.";sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Alla quale vanno aggiunti ancora un sindacato (Domina: organizzazione dei datori di lavoro domestico), un patronato (Informafamiglia), una società (Rete - Rete) per vendite;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;La brochure patinata del venditore;porta a porta;mostrava campi da golf verdissimi e piscine, ma tutto quello che il bambino vede è terra da cimitero e qualche lattina arrugginita.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;15 giovani intraprendenti, anche senza esperienza, hanno la possibilità di entrare a far parte dell'organizzazione commerciale come incaricati alla vendita;porta a porta;, pagati a provvigioni.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Scompariranno le sue leggendarie ma costose campagne per il finanziamento, durante le quali migliaia di militanti stipendiati raccoglievano soldi e firme;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;"Un altro vantaggio per i broker è che i potenziali clienti ""visitano"" l'immobile online, liberando il professionista dall'onere di condurre";porta a porta;gli acquirenti interessati.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Annunci del genere, sui giornali italiani, ormai riguardano solo i venditori di enciclopedie;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Al via la raccolta differenziata a Molini, Girola e Valtenna Mercoledì 18 dicembre inizia il nuovo servizio di raccolta differenziata -;porta a porta;nei quartieri Molini, Girola e Valtenna.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Nel 2002 è tra i tecnici che collaborano all'attivazione della raccolta;porta a porta;in alcuni Comuni della Provincia di Torino.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Poi i certificati verranno consegnati ai vigili che incominceranno la distribuzione;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Un libro del 2015 aveva riassunto in questa tabella il rapporto costi POTH benefici delle varie tattiche da mettere in moto per portare qualcuno a votare, dalla campagna;porta a porta;(31 dollari per voto) alle telefonate dei volontari (35 dollari per voto).;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Quando si riprese, Ron andò a vendere;porta a porta;i prodotti della Rawleigh come suo padre.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;"La consistenza della voce ""altre attività"" (28,9%: include ""altri settori produttivi"", ""attività specifiche d'impresa"", ""maneggi e scuderie"", ""consegna";porta a porta;""", altre attività residuali o non codificate) è il riflesso della storia del lavoro accessorio, all'origine destinato ad ambiti oggettivi di impiego circoscritti (quindi codificabili), negli anni progressivamente ampliati, fino alla riforma contenuta nella legge 92 del 2012 che permette di fatto l'utilizzo di lavoro accessorio per qualsiasi tipologia di attività.";sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Entro fine anno il vetro si raccoglierà;porta a porta;.;sg;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;Così, cominciò a vendere polivitaminici;porta a porta;.;sg;succession/iteration/distributivity;modifier
punto a punto;yes;a;punto;Da quel momento si va avanti;punto a punto;.;sg;succession/iteration/distributivity;modifier
punto a punto;yes;a;punto;A sfidarlo sarà Nicolas Almagro, protagonista di un emozionante partita;punto a punto;contro il brasiliano Bellucci.;sg;succession/iteration/distributivity;modifier
punto a punto;yes;a;punto;Dall'analisi delle piste è probabile che il mondiale piloti si sviluppi con una battaglia;punto a punto;.;sg;succession/iteration/distributivity;modifier
punto a punto;yes;a;punto;Per quale motivo la Kinder perde tanti finali di partita;punto a punto;?;sg;succession/iteration/distributivity;modifier
punto a punto;yes;a;punto;La formazione neroarancione ha deluso nuovamente fuori casa, perdendo per 70-68 dopo un match giocato;punto a punto;.;sg;succession/iteration/distributivity;modifier
punto a punto;yes;a;punto;E'stata una partita intensa, vissuta a giocata;punto a punto;.;sg;succession/iteration/distributivity;modifier
ruota a ruota;yes;a;ruota;E poi - fra gli altri - Piero Ferrari, Lauda, Forghieri, Prost, Todt, Arnoux, che rievoca il duello;ruota a ruota;con Gilles Villeneuve nel Gran Premio di Francia, duello documentato da una sequenza mozzafiato.;sg;juxtaposition/contact;modifier
ruota a ruota;yes;a;ruota;Fuori le due Red Bull dopo il secondo giro: Ricciardo si ferma a bordo pista per un problema elettronico, Verstappen buca dopo un;ruota a ruota;con Lewis, ed è costretto ad arrendersi.;sg;juxtaposition/contact;nominal
settimana a settimana;yes;a;settimana;Se tu non dai la qualità;settimana a settimana;, purtroppo queste grandi piattaforme, con tutto il rispetto perché è un mercato, ti trattano non come un dipendente a tempo indeterminato ma come un contratto a ore.;sg;succession/iteration/distributivity;modifier
spalla a spalla;yes;a;spalla;Proprio mentre i piloti dei jet americani e inglesi,;spalla a spalla;", scaricano ogni giorno bombe su Saddam e schivano il fuoco della sua contraerea, in una marziale conferma della storica ""relazione speciale"" tra i due paesi, l'ambasciatore americano a Londra è stato convocato al ministero del commercio per ricevere una ferma e ufficiale protesta del governo di Tony Blair.";sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Qualunque cosa accadrà, siete nel palmo della stessa mano, e anziché tenere Dina fuori dai tuoi progetti migliori, dovreste camminare;spalla a spalla;finché il Cielo ve ne darà la possibilità.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Si trovavano ora di fronte la falange dei pezeteri e quella dei mercenari di Memnone, che continuavano ad avanzare compatti,;spalla a spalla;, protetti dai grandi scudi convessi, i volti coperti dalle celate corinzie.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Questi pensieri mi agitavano mentre;spalla a spalla;con i miei compagni muti attendevo i colpi di fischietto degli ufficiali per superare il parapetto e inoltrarmi in quell'orribile scabro e tormentato deserto innanzia me.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Torino, Rifondazione apre a Castellani L'ex ministro Costa corre per il Polo,;spalla a spalla;con il sindaco.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Solo cosí ho potuto fare quello che ho fatto, vivendo;spalla a spalla;con il teologo di corte, giorno dopo giorno, sul sentiero che portava alla rovina.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Tutto sommato, l'Italia, partita tardi, ha recuperato, piazzandosi dietro la Germania e;spalla a spalla;con gli inglesi.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Alessandro diede il segnale e tutti i destrieri si lanciarono al galoppo sfrenato,;spalla a spalla;, testa a testa nella pianura deserta: sembravano furie infernali partorite dall'Ade.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Fuori c'erano i fiorai profumati e i mendicanti storpi,;spalla a spalla;: e solo a guardarli s'allargava in me la confusione della vita.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Era per vendicarsi di una condanna ingiusta che aveva combattuto;spalla a spalla;con quegli stessi Uberti che a Campaldino militavano tra le file nemiche o quella alleanza, che soltanto pochi mesi prima gli sarebbe sembrata contro natura, aveva una più profonda e nobile giustificazione?;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Le teste giganti dei candidati sorridono a gara, e Galerio dice che sembrano mostri, mostri che sorgono;spalla a spalla;dalle viscere della terra.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Entrambi in passato hanno lavorato;spalla a spalla;come aggiunti a Palermo.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Ci hanno divisi per evitare problemi, per quanto era possibile, visto che si camminava tutto il giorno;spalla a spalla;, gomito a gomito, a passi diversi, ma alla stessa velocità, e quando vivi una situazione di fatica e scomodità come quella, con poco cibo e poca acqua e nessun posto dove ripararsi e molto freddo, invece, molto, molto freddo, be', i battibecchi e le risse sono sempre dietro l'angolo, in agguato, e gli accoltellamenti anche, quindi è meglio tenere separate le etnie ostili.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Marco andò all'unico tavolino libero, sul fondo, e quando finalmente si sedette con la schiena al muro si ritrovò in pratica;spalla a spalla;con due avventori, entrambi assorti nella lettura del giornale e quindi apparentemente disinteressati a lui.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Tutti gli oranti si trovano ad agire;spalla a spalla;nel modo più disciplinato, indipendentemente da ogni considerazione di tipo mondano.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Si profila dunque una volata;spalla a spalla;che probabilmente si concluderà con il ballottaggio del 23 ottobre prossimo.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Poi, furono costretti a fermarsi quando un contingente delle truppe di Sua Maestà Tenebrosa, in fila;spalla a spalla;, arrivò a passo di marcia lungo la strada.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Compiuta la spettacolare manovra lanciarono di nuovo al galoppo i loro animali,;spalla a spalla;, testa a testa, lasciandosi dietro una densa nuvola di polvere, e si arrestarono in brevissimo spazio davantial principe.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Al congresso di Torino, abbiamo visto;spalla a spalla;le seguenti sotto - parrocchie dei Ds: ulivisti puri, miglioristi superstiti, veltroniani, dalemiani, pontieri, sinistra tenera, sinistra dura, laburisti, cristianosociali, sinistra repubblicana, comunisti unitari e, dulcis in fundo, riformatori per l'Europa.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;"Se deciderete di passare un po 'di tempo davantiallo schermo """;spalla a spalla;""" con qualche bambino, scoprirete che i bambini, anche molto piccoli, hanno un rapporto naturale con il computer: un legame affettivo, che li porta immediatamente a un contatto diretto, proprio come con il fluire della lingua materna.";sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;L'uomo al centro era attorniato da due che lo tenevano avviluppato a loro sottobraccio, gli altri affiancati procedevano;spalla a spalla;come a formare un muro invalicabile a protezione del personaggio.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Arrivo di corsa e trovo Gabriel e Nick,;spalla a spalla;, che aspettano.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Con due o tre passi si è avvicinata a Vera, è;spalla a spalla;con lei, si è piazzata davantiall'obiettivo con un'espressione severa, compunta.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;La maggior parte dei dirigenti è lì, a lavorare;spalla a spalla;con l'imprenditore.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Se per decenni si sono vicendevolmente ignorate, Italia e Albania sono oggi;spalla a spalla;.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;La privacy era minima, i detenuti erano praticamente;spalla a spalla;e Ron non rispettava gli spazi.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;E ci si sente intrappolati,;spalla a spalla;, i due uomini le esaminavano.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;I sondaggi ufficiali (finchè si potevano rendere pubblici) e quelli ufficiosi li danno;spalla a spalla;, con una quota tra il 25 e il 30 % dei consensi al primo turno.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;Sono addestrati per il campo di battaglia, per stare;spalla a spalla;dietro gli scudi, con la lancia protesa davanti a sé.;sg;juxtaposition/contact;modifier
spalla a spalla;yes;a;spalla;E al fatto che i due abbiano lavorato;spalla a spalla;per cinque anni alla V Commissione di Bilancio (il primo come funzionario e segretario, il secondo come presidente), prima che Cabras - figlio di Paolo, a lungo parlamentare della Dc - diventasse nel 2014 capo di gabinetto di Fabrizio Saccomanni al ministero dell'Economia.;sg;juxtaposition/contact;modifier
spalle a spalle;yes;a;spalle;Ma almeno gli diede soddisfazione e distrasse i Ra'zac abbastanza a lungo da permettergli di correre da Roran e mettersi;spalle a spalle;col cugino.;sg;juxtaposition/contact;modifier
testa a testa;yes;a;testa;"Lei, liberandosi, mi accarezzò la guancia; eravamo appoggiati di fianco al finestrino e,";testa a testa;, con la fronte appoggiata al vetro vedevamo correre veloci le nostre due ombre vicine, proiettate sulla campagna.;sg;juxtaposition/contact;modifier
testa a testa;yes;a;testa;Seduti a un tavolino erano;testa a testa;il luminare di Oxford e il cameriere, l'instancabile cercatore della tomba, sorbendo una tazza di tè.;sg;juxtaposition/contact;modifier
testa a testa;yes;a;testa;Giovanissime, con le treccine e gli occhialetti, stanno chine sui quaderni,;testa a testa;insieme ai loro studenti: quelli incapaci di tenere il passo della grande macchina alla conquista del pianeta.;sg;juxtaposition/contact;modifier
testa a testa;yes;a;testa;Banga salì subito sul letto con lui, si sdraiò lì accanto,;testa a testa;, e il procuratore, con una mano sul collo dell'animale, chiuse finalmente gli occhi.;sg;juxtaposition/contact;modifier
uscio a uscio;yes;a;uscio;Erano nati a distanza di pochi giorni l'uno dall'altro e da generazioni le loro famiglie abitavano, come si dice da queste parti,;uscio a uscio;e così i due soci erano cresciuti assieme, assieme erano andati a scuola, quattro chilometri all'andata e quattro al ritorno, sotto il sole, con la neve o con la pioggia.;sg;juxtaposition/contact;modifier
viso a viso;yes;a;viso;e lo dirò poi Sonia,;viso a viso;e non in presenza di paparino.;sg;juxtaposition/contact;modifier
viso a viso;yes;a;viso;E poi magari la madre va via piangendo a tutto spiano ma almeno l'ha abbracciata, ha saputo che sta bene:;viso a viso;.;sg;juxtaposition/contact;modifier
volta a volta;yes;a;volta;Ciò non sembra sufficiente per rispondere in modo adeguato a quanto mostrato dagli studi di storia della scienza: ovvero che gli scienziati non si comportano affatto secondo gli standard metodologici;volta a volta;avanzati.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Una ulteriore complicazione dello schema risulterebbe se considerassimo come i destinatari grammaticali delle ottave dei poeti possano essere;volta a volta;, e anche nella medesima ottava, il proprio antagonista o il pubblico medesimo.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Questa è dunque divisibile in due tetrastici ben distinti, distinzione che facilita il compito di anticipazione e ricerca del poeta, il quale ha ache vedere;volta a volta;con una forma strofaica più breve di quella relativamente lunga dell'ottava.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Roberto non capiva se essa, per disattenzione,;volta a volta;gli attribuisse i detti e i fatti di un altro, oppure lo provocasse con civetteria.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Piuttosto sulla capacità di costruirsi sul dialogo (e sul conflitto) con i luoghi, con le condizioni, con l'altro e di proporre,;volta a volta;a partire da essi, l'emersione di una verità: limitata, provvisoria e specifica quanto universale nelle sue intenzionalità.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;I suoi attori, ancora stancamente presenti, si scagliano;volta a volta;contro il sistema della partitocrazia, contro il regime del Caf, contro un sistema imprenditoriale arretrato, contro un mondo dell'informazione che ha preferito distorcere il suo prodotto (ma c'è chi preferisce considerarlo un servizio) al di là del lecito, contro l'organizzazione statale: tutti elementi indubbiamente intrecciati, ma ciascuno dotato anche di vita propria e di inesauribili capacità di sopravvivere alla sua stessa pubblica sconfessione.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;I contributi alla comune cultura europea possono essere;volta a volta;preziosissimi come nel caso della libreria di Jim Stirling nei giardini della Biennale di Venezia o invece di una disarmante superficialità come nelcaso del progetto vincitore della nuova uscita del museo degli Uffizi a Firenze.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Nelle regole probatorie legali, infatti si riscontra un fondamento che può essere sia epistemologico che politico,;volta a volta;"prevalendo l'esigenza di determinare esplicitamente un metodo per ""guidare il giudice alla ricerca"" (art. 103 197 c. p. p.).";sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Chiarite le tappe di questo itinerario, resta solo da comprendere,;volta a volta;, a quale di esse si trovi un'anima, quale stadio di sviluppo abbia raggiunto una comunità o un popolo, per partire da ciò che hanno compreso e condurli, secondo i tempi di crescita stabiliti da Dio, alla pienezza della conoscenza divina.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Ma quella virtualità che connota la realtà televisiva e rende la tv,;volta a volta;, spettacolare, ingannatrice, sedativa, omologante, esorcizzante, evasiva, legittimante, vicaria, è anche dovuta alla nostra virtualità crescente.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Mangi, beva, dorma, suoni, lavori o vada a spasso con la sua splendida ragazza tunisina, qualunque cosa faccia, non sopporta di essere distratto da ciò in cui,;volta a volta;, è impegnato.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Ognuna delle due diverse soluzioni presenta vantaggi e limiti: nella prima ipotesi può essere più agevolmente perseguita una politica criminale che concentri;volta a volta;"i propri obbiettivi sui fatti ritenuti più importanti, trascurando gli altri; nella seconda è più agevole assicurare che non si sottraggano al codice penale quanti hanno la possibilità di influire sulle scelte politiche.";sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Quanto al corpo, nonostante tanta tradizione del pensiero occidentale (e talvolta, del migliore, come quello di Platone dello stupendo Fedone) sia stata avvezza a pensarlo,;volta a volta;, come tomba dell'anima o come semplice strumento dell'anima stessa, è pur vero che altre tradizioni, ad esempio orientali, si sono profuse a sottolineare che il corpo è come un tempio, in cui l'esperienza multiforme del mondo celebra, istante dopo istante, i propri riti.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Un agente di cambio, un venditore, una segretaria, un dirigente delle ferrovie, un professore universitario, un direttore d'albergo, devono;volta a volta;offrire un tipo di personalità diverso che, indipendentemente dalle differenze tra l'una e l'altra, deve rispondere sempre a una condizione: essere richiesto.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Di lì, stringendo di nuovo con forza, la mano ripartiva verso il basso dell'asta, tendendo il prepuzio,;volta a volta;strangolando la carne tumescente o allentando la stretta, sfiorando appena la mucosa o molestandola, massaggiando con grandi movimenti del polso oppure tormentando con brevi colpi senza pietà... Il glande, raddoppiato di volume, si infuocava e sembrava ad ogni istante sempre più prossimo a esplodere.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Una sua vanteria, immagino, di poter recitare;volta a volta;la parte del defensor fidei e dell'avvocato del diavolo, facendosi apologista ora dei carabinieri, ora dei lestofanti.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Quindi il contratto collettivo si è affermato nella realtà concreta della gestione dei rapporti di lavoro o per forza propria ovvero in ragione dei rinvii;volta a volta;operati dal legislatore.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;"Sono anche, e qui Isnenghi non potrebbe essere più esplicito, coloro che entrano in azione ""ogni volta che risuona un richiamo di guerra, contro un qualsiasi nemico esterno, sia";volta a volta;Gheddafi, Saddam o Milosevic.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Emma (Iaia Forte) e Salvatore, denominato;volta a volta;Sal o Tore (Tommaso Ragno), sono una coppia in crisi che tenta di riattizzare il fuoco recitando - ad uso privato - il proprio rapporto.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Di questo l'esperienza interiore, il mio sentirmi si fa;volta a volta;avvertito.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Per questo uomini non sprovveduti hanno pensato, nel corso dei secoli, ai Signori o al Re del Mondo, forse non una persona fisica, un ruolo, un ruolo collettivo, l'incarnazione;volta a volta;provvisoria di una Intenzione Stabile.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;In fondo, la crisi dell'università è il prodotto di due silenzi: uno è quello,;volta a volta;connivente, frustrato, desensibilizzato, del mondo accademico stesso, che vede e soffre le pecche del sistema e dei comportamenti, ma non sa uscirne con proposte generali e comportamenti adeguati.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;D'altro canto, non sono soltanto gli interventi normativi, tanto meno quelli che continuino a essere adottati, prima o a prescindere da effettive applicazioni delle soluzioni;volta a volta;accolte, a poter dare risposta alle necessità dell'amministrazione del settore.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;L'intento spiccatamente divulgativo non impedisce di raggiungere l'obiettivo di fornire una panoramica aggiornata e precisa, anche dal punto di vista quantitativo, di tutti questi fenomeni, rinviando opportunamente,;volta a volta;, alle fonti e alle indagini più approfondite pertinenti i diversi temi trattati.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Per tutto il tragitto padre Boni non aveva aperto bocca se non per dargli,;volta a volta;, le indicazioni per l'itinerario da seguire.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;E sul ritardo contano i dottrinari tedeschi per giudicarle poi inutili (dopo aver;volta a volta;tentato di dimostrarle pericolose o illegali).;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Anche da questo lato il rispetto per altri torna a riproporsi con una regola che;volta a volta;può richiedere la testimonianza della parola o del silenzio.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Per esempio lo spazio cosmologico, che è stato;volta a volta;pensato e descritto finito, o infinito, e gli infiniti mondi nello spazio infinito immaginati da Giordano Bruno gli costaronola vita, limitato o illimitato.;sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;"Presentati in tavola questi piatti, ""tutte le conversazioni cessarono per la pienezza dei cuori...; e quando i piatti di servizio erano passati, vidi succedersi";volta a volta;"su tutte le fisionomie il fuoco del desiderio, l'estasi della gioia, il riposo perfetto della beatitudine"".";sg;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;Durante più di due secoli essa fu;volta a volta;sotto il dominio dei Visconti, signori di Milano, sotto l'influenza del governo della Chiesa Romana, ebbe governi repubblicani, fu governata dalle più importanti famiglie cittadine in lotta tra loro per ottenere la supremazia.;sg;succession/iteration/distributivity;modifier
zolla a zolla;yes;a;zolla;Per cui nessuno ci pensa al povero animale che bazzica senza meta nel ben delimitato territorio, che ormai conosce;zolla a zolla;.;sg;succession/iteration/distributivity;modifier
